date,total
2020-06-02 11:59:00,166
2020-06-03 11:59:00,168
2020-06-04 11:59:00,169
2020-06-05 11:59:00,169
2020-06-06 11:59:00,169
2020-06-07 11:59:00,174
2020-06-08 11:59:00,176
2020-06-09 11:59:00,177
2020-06-10 11:59:00,178
2020-06-11 11:59:00,178
2020-06-12 11:59:00,178
2020-06-13 11:59:00,178
2020-06-14 11:59:00,182
2020-06-15 11:59:00,183
2020-06-16 11:59:00,186
2020-06-17 11:59:00,187
2020-06-18 11:59:00,187
2020-06-19 11:59:00,187
2020-06-20 11:59:00,187
2020-06-21 11:59:00,188
2020-06-22 11:59:00,190
2020-06-23 11:59:00,190
2020-06-24 11:59:00,191
2020-06-25 11:59:00,193
2020-06-26 11:59:00,193
2020-06-27 11:59:00,193
2020-06-28 11:59:00,198
2020-06-29 11:59:00,201
2020-06-30 11:59:00,202
2020-07-01 11:59:00,202
2020-07-02 11:59:00,202
2020-07-03 11:59:00,202
2020-07-04 11:59:00,202
2020-07-05 11:59:00,210
2020-07-06 11:59:00,214
2020-07-07 11:59:00,214
2020-07-08 11:59:00,216
2020-07-09 11:59:00,218
2020-07-10 11:59:00,218
2020-07-11 11:59:00,218
2020-07-12 11:59:00,219
2020-07-14 11:59:00,222
2020-07-15 11:59:00,224
2020-07-16 11:59:00,227
2020-07-17 11:59:00,227
2020-07-18 11:59:00,227
2020-07-19 11:59:00,229
2020-07-20 11:59:00,230
2020-07-21 11:59:00,232
2020-07-22 11:59:00,232
2020-07-23 11:59:00,233
2020-07-24 11:59:00,233
2020-07-25 11:59:00,233
2020-07-26 11:59:00,243
2020-07-27 11:59:00,243
2020-07-28 11:59:00,245
2020-07-29 11:59:00,247
2020-07-30 11:59:00,248
2020-07-31 11:59:00,248
2020-08-01 11:59:00,248
2020-08-02 11:59:00,255
2020-08-03 11:59:00,257
2020-08-04 11:59:00,257
2020-08-05 11:59:00,256
2020-08-06 11:59:00,256
2020-08-07 11:59:00,256
2020-08-08 11:59:00,256
2020-08-09 11:59:00,259
2020-08-10 11:59:00,259
2020-08-11 11:59:00,260
2020-08-12 11:59:00,260
2020-08-13 11:59:00,261
2020-08-14 11:59:00,261
2020-08-15 11:59:00,261
2020-08-16 11:59:00,270
2020-08-17 11:59:00,276
2020-08-18 11:59:00,282
2020-08-19 11:59:00,283
2020-08-20 11:59:00,286
2020-08-21 11:59:00,286
2020-08-22 11:59:00,286
2020-08-23 11:59:00,292
2020-08-24 11:59:00,292
2020-08-25 11:59:00,294
2020-08-26 11:59:00,297
2020-08-27 11:59:00,298
2020-08-28 11:59:00,298
2020-08-29 11:59:00,298
2020-08-30 11:59:00,301
2020-08-31 11:59:00,301
2020-09-01 11:59:00,303
2020-09-02 11:59:00,306
2020-09-03 11:59:00,307
2020-09-04 11:59:00,307
2020-09-05 11:59:00,307
2020-09-06 11:59:00,307
2020-09-07 11:59:00,310
2020-09-08 11:59:00,312
2020-09-09 11:59:00,314
